,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
174,ALKBH1,Q13686,reviewed,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-),ALKBH1 ABH ABH1 ALKBH,Homo sapiens (Human),389
178,ALOX5,P09917,reviewed,LOX5_HUMAN,Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34),ALOX5 LOG5,Homo sapiens (Human),674
181,ANGPT1,Q15389,reviewed,ANGP1_HUMAN,Angiopoietin-1 (ANG-1),ANGPT1 KIAA0003,Homo sapiens (Human),498
185,ANKRD1,Q15327,reviewed,ANKR1_HUMAN,Ankyrin repeat domain-containing protein 1 (Cardiac ankyrin repeat protein) (Cytokine-inducible gene C-193 protein) (Cytokine-inducible nuclear protein),ANKRD1 C193 CARP HA1A2,Homo sapiens (Human),319
189,ANP32A,P39687,reviewed,AN32A_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI),ANP32A C15orf1 LANP MAPM PHAP1,Homo sapiens (Human),249
195,ANXA1,P04083,reviewed,ANXA1_HUMAN,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26],ANXA1 ANX1 LPC1,Homo sapiens (Human),346
200,APOA1,P02647,reviewed,APOA1_HUMAN,Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))],APOA1,Homo sapiens (Human),267
203,APOBEC1,P41238,reviewed,ABEC1_HUMAN,C->U-editing enzyme APOBEC-1 (EC 3.5.4.-) (Apolipoprotein B mRNA-editing enzyme catalytic subunit 1) (APO1) (APOBEC-1) (Apolipoprotein B mRNA-editing enzyme 1) (EC 3.5.4.36) (HEPR) (mRNA(cytosine(6666)) deaminase 1),APOBEC1,Homo sapiens (Human),236
206,ARFGAP1,Q8N6T3,reviewed,ARFG1_HUMAN,ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein),ARFGAP1 ARF1GAP,Homo sapiens (Human),406
217,ARHGAP1,Q07960,reviewed,RHG01_HUMAN,Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP),ARHGAP1 CDC42GAP RHOGAP1,Homo sapiens (Human),439
220,ARID1A,O14497,reviewed,ARI1A_HUMAN,"AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)",ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,Homo sapiens (Human),2285
232,ARSA,O43681,reviewed,GET3_HUMAN,"ATPase GET3 (EC 3.6.4.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",GET3 ARSA ASNA1 TRC40,Homo sapiens (Human),348
238,ATP5F1A,P25705,reviewed,ATPA_HUMAN,"ATP synthase F(1) complex subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)",ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM,Homo sapiens (Human),553
249,AURKA,O14965,reviewed,AURKA_HUMAN,Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Breast tumor-amplified kinase) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A),AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Homo sapiens (Human),403
256,BAG1,Q99933,reviewed,BAG1_HUMAN,BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1),BAG1 HAP,Homo sapiens (Human),345
264,BAGE,Q13072,reviewed,BAGE1_HUMAN,B melanoma antigen 1 (B melanoma antigen) (Antigen MZ2-BA) (Cancer/testis antigen 2.1) (CT2.1),BAGE BAGE1,Homo sapiens (Human),43
266,BATF,Q16520,reviewed,BATF_HUMAN,Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF) (SF-HT-activated gene 2 protein) (SFA-2),BATF,Homo sapiens (Human),125
268,BCL2,P10415,reviewed,BCL2_HUMAN,Apoptosis regulator Bcl-2,BCL2,Homo sapiens (Human),239
280,BEND2,Q8NDZ0,reviewed,BEND2_HUMAN,BEN domain-containing protein 2,BEND2 CXorf20,Homo sapiens (Human),799
281,BEX1,Q9HBH7,reviewed,BEX1_HUMAN,Protein BEX1 (Brain-expressed X-linked protein 1),BEX1,Homo sapiens (Human),125
282,BHLHA9,Q7RTU4,reviewed,BHA09_HUMAN,Class A basic helix-loop-helix protein 9 (bHLHa9) (Class F basic helix-loop-helix factor 42) (bHLHf42),BHLHA9 BHLHF42,Homo sapiens (Human),235
283,BIRC2,Q13490,reviewed,BIRC2_HUMAN,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),BIRC2 API1 MIHB RNF48,Homo sapiens (Human),618
290,BPIFA1,Q9NP55,reviewed,BPIA1_HUMAN,BPI fold-containing family A member 1 (Lung-specific protein X) (Nasopharyngeal carcinoma-related protein) (Palate lung and nasal epithelium clone protein) (Secretory protein in upper respiratory tracts) (Short PLUNC1) (SPLUNC1) (Tracheal epithelium-enriched protein) (Von Ebner protein Hl),BPIFA1 LUNX NASG PLUNC SPLUNC1 SPURT UNQ787/PRO1606,Homo sapiens (Human),256
291,BRD4,O60885,reviewed,BRD4_HUMAN,Bromodomain-containing protein 4 (Protein HUNK1),BRD4 HUNK1,Homo sapiens (Human),1362
300,BRICD5,Q6PL45,reviewed,BRID5_HUMAN,BRICHOS domain-containing protein 5,BRICD5 C16orf79,Homo sapiens (Human),260
302,BTBD1,Q9H0C5,reviewed,BTBD1_HUMAN,BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8) (HCV NS5A-transactivated protein 8),BTBD1 C15orf1 NS5ATP8,Homo sapiens (Human),482
305,BTN1A1,Q13410,reviewed,BT1A1_HUMAN,Butyrophilin subfamily 1 member A1 (BT),BTN1A1 BTN,Homo sapiens (Human),526
308,BUB1,O43683,reviewed,BUB1_HUMAN,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),BUB1 BUB1L,Homo sapiens (Human),1085
316,CA1,P00915,reviewed,CAH1_HUMAN,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69),CA1,Homo sapiens (Human),261
331,CALM1,P0DP23,reviewed,CALM1_HUMAN,Calmodulin-1,CALM1 CALM CAM CAM1,Homo sapiens (Human),149
337,CAMSAP1,Q5T5Y3,reviewed,CAMP1_HUMAN,Calmodulin-regulated spectrin-associated protein 1,CAMSAP1,Homo sapiens (Human),1602
339,CAPN1,P07384,reviewed,CAN1_HUMAN,Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP),CAPN1 CANPL1 PIG30,Homo sapiens (Human),714
350,CARD6,Q9BX69,reviewed,CARD6_HUMAN,Caspase recruitment domain-containing protein 6,CARD6,Homo sapiens (Human),1037
353,CASK,O14936,reviewed,CSKP_HUMAN,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),CASK LIN2,Homo sapiens (Human),926
373,CASP1,P29466,reviewed,CASP1_HUMAN,Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10],CASP1 IL1BC IL1BCE,Homo sapiens (Human),404
382,CBX1,P83916,reviewed,CBX1_HUMAN,Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta),CBX1 CBX,Homo sapiens (Human),185
389,CCNA1,P78396,reviewed,CCNA1_HUMAN,Cyclin-A1,CCNA1,Homo sapiens (Human),465
391,CD80,P33681,reviewed,CD80_HUMAN,T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80),CD80 CD28LG CD28LG1 LAB7,Homo sapiens (Human),288
393,CDC42EP1,Q00587,reviewed,BORG5_HUMAN,Cdc42 effector protein 1 (Binder of Rho GTPases 5) (Serum protein MSE55),CDC42EP1 BORG5 CEP1 MSE55,Homo sapiens (Human),391
397,CDC7,O00311,reviewed,CDC7_HUMAN,Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1),CDC7 CDC7L1,Homo sapiens (Human),574
400,CEBPA,P49715,reviewed,CEBPA_HUMAN,CCAAT/enhancer-binding protein alpha (C/EBP alpha),CEBPA CEBP,Homo sapiens (Human),358
401,CELA1,Q9UNI1,reviewed,CELA1_HUMAN,Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1) (Pancreatic elastase 1),CELA1 ELA1,Homo sapiens (Human),258
402,CES1,P02795,reviewed,MT2_HUMAN,Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II),MT2A CES1 MT2,Homo sapiens (Human),61
408,CHCHD1,Q96BP2,reviewed,CHCH1_HUMAN,"Small ribosomal subunit protein mS37 (28S ribosomal protein S37, mitochondrial) (MRP-S37) (Coiled-coil-helix-coiled-coil-helix domain-containing protein 1) (Nuclear protein C2360)",CHCHD1 C10orf34 MRPS37,Homo sapiens (Human),118
410,CHKA,P35790,reviewed,CHKA_HUMAN,Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82),CHKA CHK CKI,Homo sapiens (Human),457
413,CHMP1A,Q9HD42,reviewed,CHM1A_HUMAN,Charged multivesicular body protein 1a (Chromatin-modifying protein 1a) (CHMP1a) (Vacuolar protein sorting-associated protein 46-1) (Vps46-1) (hVps46-1),CHMP1A CHMP1 KIAA0047 PCOLN3 PRSM1,Homo sapiens (Human),196
427,CISD1,Q9NZ45,reviewed,CISD1_HUMAN,CDGSH iron-sulfur domain-containing protein 1 (Cysteine transaminase CISD1) (EC 2.6.1.3) (MitoNEET),CISD1 C10orf70 ZCD1 MDS029,Homo sapiens (Human),108
428,CLCA1,A8K7I4,reviewed,CLCA1_HUMAN,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1),CLCA1 CACC1,Homo sapiens (Human),914
429,CLEC1A,Q8NC01,reviewed,CLC1A_HUMAN,C-type lectin domain family 1 member A (C-type lectin-like receptor 1) (CLEC-1),CLEC1A CLEC1 UNQ569/PRO1131,Homo sapiens (Human),280
435,CNDP1,Q96KN2,reviewed,CNDP1_HUMAN,Beta-Ala-His dipeptidase (EC 3.4.13.20) (CNDP dipeptidase 1) (Carnosine dipeptidase 1) (Glutamate carboxypeptidase-like protein 2) (Serum carnosinase),CNDP1 CN1 CPGL2 UNQ1915/PRO4380,Homo sapiens (Human),507
438,CNIH2,Q6PI25,reviewed,CNIH2_HUMAN,Protein cornichon homolog 2 (CNIH-2) (Cornichon family AMPA receptor auxiliary protein 2) (Cornichon-like protein),CNIH2 CNIL,Homo sapiens (Human),160
442,CNPY1,Q3B7I2,reviewed,CNPY1_HUMAN,Protein canopy homolog 1,CNPY1,Homo sapiens (Human),92
445,COL7A1,Q02388,reviewed,CO7A1_HUMAN,Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen),COL7A1,Homo sapiens (Human),2944
449,COLEC10,Q9Y6Z7,reviewed,COL10_HUMAN,Collectin-10 (Collectin liver protein 1) (CL-L1) (Collectin-34) (CL-34),COLEC10 CLL1 UNQ366/PRO702,Homo sapiens (Human),277
450,COMMD1,Q8N668,reviewed,COMD1_HUMAN,COMM domain-containing protein 1 (Protein Murr1),COMMD1 C2orf5 MURR1,Homo sapiens (Human),190
455,CORO1A,P31146,reviewed,COR1A_HUMAN,Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO),CORO1A CORO1,Homo sapiens (Human),461
462,CPAMD8,Q8IZJ3,reviewed,CPMD8_HUMAN,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8,CPAMD8 KIAA1283,Homo sapiens (Human),1885
469,CPLX1,O14810,reviewed,CPLX1_HUMAN,Complexin-1 (Complexin I) (CPX I) (Synaphin-2),CPLX1,Homo sapiens (Human),134
472,CRYBA1,P05813,reviewed,CRBA1_HUMAN,"Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]",CRYBA1 CRYB1,Homo sapiens (Human),215
482,CT45A1,Q5HYN5,reviewed,CT451_HUMAN,Cancer/testis antigen family 45 member A1 (Cancer/testis antigen 45-1) (Cancer/testis antigen 45A1),CT45A1 CT45-1,Homo sapiens (Human),189
483,CT47A1,Q5JQC4,reviewed,CT47A_HUMAN,Cancer/testis antigen 47A (Cancer/testis antigen 47) (CT47),CT47A1 CT47.1; CT47A2 CT47.2; CT47A3 CT47.3; CT47A4 CT47.4; CT47A5 CT47.5; CT47A6 CT47.6; CT47A7 CT47.7; CT47A8 CT47.8; CT47A9 CT47.9; CT47A10 CT47.10; CT47A11 CT47.11; CT47A12 CT47.12,Homo sapiens (Human),288
484,CUL1,Q13616,reviewed,CUL1_HUMAN,Cullin-1 (CUL-1),CUL1,Homo sapiens (Human),776
497,CYB561,P49447,reviewed,CY561_HUMAN,Transmembrane ascorbate-dependent reductase CYB561 (EC 7.2.1.-) (Cytochrome b-561) (Cytochrome b561),CYB561,Homo sapiens (Human),251
507,CYP1A1,P04798,reviewed,CP1A1_HUMAN,Cytochrome P450 1A1 (CYPIA1) (EC 1.14.14.1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),CYP1A1,Homo sapiens (Human),512
515,DAZ1,Q9NQZ3,reviewed,DAZ1_HUMAN,Deleted in azoospermia protein 1,DAZ1 DAZ SPGY,Homo sapiens (Human),744
519,DCX,O43602,reviewed,DCX_HUMAN,Neuronal migration protein doublecortin (Doublin) (Lissencephalin-X) (Lis-X),DCX DBCN LISX,Homo sapiens (Human),365
528,DENND1A,Q8TEH3,reviewed,DEN1A_HUMAN,DENN domain-containing protein 1A (Connecdenn 1) (Connecdenn) (Protein FAM31A),DENND1A FAM31A KIAA1608,Homo sapiens (Human),1009
531,DGKA,P23743,reviewed,DGKA_HUMAN,Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (EC 2.7.1.93) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha),DGKA DAGK DAGK1,Homo sapiens (Human),735
543,DHFR,P00374,reviewed,DYR_HUMAN,Dihydrofolate reductase (EC 1.5.1.3),DHFR,Homo sapiens (Human),187
546,DISP1,Q96F81,reviewed,DISP1_HUMAN,Protein dispatched homolog 1,DISP1 DISPA,Homo sapiens (Human),1524
552,DMBT1,Q9UGM3,reviewed,DMBT1_HUMAN,Scavenger receptor cysteine-rich domain-containing protein DMBT1 (Deleted in malignant brain tumors 1 protein) (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),DMBT1 GP340,Homo sapiens (Human),2413
560,DPEP1,P16444,reviewed,DPEP1_HUMAN,Dipeptidase 1 (EC 3.4.13.19) (Beta-lactamase) (EC 3.5.2.6) (Dehydropeptidase-I) (Microsomal dipeptidase) (Renal dipeptidase) (hRDP),DPEP1 MDP RDP,Homo sapiens (Human),411
564,DUOX1,Q9NRD9,reviewed,DUOX1_HUMAN,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 1) (Long NOX 1) (NADPH thyroid oxidase 1) (Thyroid oxidase 1),DUOX1 DUOX LNOX1 THOX1,Homo sapiens (Human),1551
571,DUOXA1,Q1HG43,reviewed,DOXA1_HUMAN,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),DUOXA1 NIP NUMBIP,Homo sapiens (Human),343
583,DVL1,O14640,reviewed,DVL1_HUMAN,Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1),DVL1,Homo sapiens (Human),695
589,EBF1,Q9UH73,reviewed,COE1_HUMAN,Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor),EBF1 COE1 EBF,Homo sapiens (Human),591
591,EFS,O43281,reviewed,EFS_HUMAN,Embryonal Fyn-associated substrate (hEFS) (Cas scaffolding protein family member 3),EFS CASS3,Homo sapiens (Human),561
592,ELOVL1,Q9BW60,reviewed,ELOV1_HUMAN,Very long chain fatty acid elongase 1 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL1) (ELOVL fatty acid elongase 1) (ELOVL FA elongase 1) (Elongation of very long chain fatty acids protein 1) (Very long chain 3-ketoacyl-CoA synthase 1) (Very long chain 3-oxoacyl-CoA synthase 1),ELOVL1 SSC1 CGI-88,Homo sapiens (Human),279
595,EMILIN1,Q9Y6C2,reviewed,EMIL1_HUMAN,EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1),EMILIN1 EMI,Homo sapiens (Human),1016
597,ENAH,Q8N8S7,reviewed,ENAH_HUMAN,Protein enabled homolog,ENAH MENA,Homo sapiens (Human),591
604,ENPP1,P22413,reviewed,ENPP1_HUMAN,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Alkaline phosphodiesterase I) (EC 3.1.4.1) (Membrane component chromosome 6 surface marker 1) (Nucleotide diphosphatase) (Nucleotide pyrophosphatase) (NPPase) (EC 3.6.1.9) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form]",ENPP1 M6S1 NPPS PC1 PDNP1,Homo sapiens (Human),925
609,ENTPD1,P49961,reviewed,ENTP1_HUMAN,Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39),ENTPD1 CD39,Homo sapiens (Human),510
614,EPB41,P11171,reviewed,EPB41_HUMAN,Protein 4.1 (P4.1) (4.1R) (Band 4.1) (EPB4.1) (Erythrocyte membrane protein band 4.1),EPB41 E41P,Homo sapiens (Human),864
642,EPS8,Q12929,reviewed,EPS8_HUMAN,Epidermal growth factor receptor kinase substrate 8,EPS8,Homo sapiens (Human),822
652,ERN1,O75460,reviewed,ERN1_HUMAN,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],ERN1 IRE1,Homo sapiens (Human),977
655,ETNK1,Q9HBU6,reviewed,EKI1_HUMAN,Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82),ETNK1 EKI1,Homo sapiens (Human),452
661,ETS1,P14921,reviewed,ETS1_HUMAN,Protein C-ets-1 (p54),ETS1 EWSR2,Homo sapiens (Human),441
664,EZR,P15311,reviewed,EZRI_HUMAN,Ezrin (Cytovillin) (Villin-2) (p81),EZR VIL2,Homo sapiens (Human),586
666,F13B,P05160,reviewed,F13B_HUMAN,Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain),F13B,Homo sapiens (Human),661
